folio,ordenvehiculo,tipovehiculo,ordenconductor,marcavehiculo,anovehiculo,combustiblevehiculo,situacionvehiculo,vehiculotrabajo,factorexpansiona
10011,1,Auto,3,Suzuki,2022,Gasolina,Propia (del hogar),No,"10,476"
10012,1,Auto,1,Subaru,2018,Gasolina,Propia (del hogar),No,"10,476"
10021,1,Camioneta o vehiculo todo terreno,1,Uaz,2021,Gasolina,Propia (del hogar),No,"10,5"
10022,1,Motocicleta,1,Hyundai,2012,Diesel,Propia (del hogar),No,"10,5"
10022,2,Auto,3,Hyundai,2013,Gasolina,Propia (del hogar),No,"10,5"
10022,3,Van o minivan,1,Toyota,1992,Gasolina,Propia (del hogar),No,"10,5"
10031,1,Camioneta o vehiculo todo terreno,1,Chevrolet,2013,Gasolina,Propia (del hogar),Si,"11,122"
10031,2,Auto,2,Hyundai,2016,Diesel,Propia (del hogar),No,"11,122"
10032,1,Auto,1,Hyundai,2003,Diesel,Propia (del hogar),Si,"11,122"
10041,1,Auto,4,Toyota,2014,Gasolina,Propia (del hogar),No,"11,122"
10041,2,Auto,1,MG,2019,Gasolina,Propia (del hogar),No,"11,122"
10042,1,Auto,1,Mazda,2010,Gasolina,Propia (del hogar),No,"11,122"
10061,1,Auto,1,Kia,2004,Diesel,Propia (del hogar),No,"11,122"
10061,2,Auto,3,Kia,2005,Diesel,Propia (del hogar),No,"11,122"
10081,1,Auto,1,Chevrolet,2019,Gasolina,Propia (del hogar),No,"11,122"
10091,1,Camioneta o vehiculo todo terreno,2,Ford,2011,Diesel,Propia (del hogar),Si,"11,122"
10092,1,Camioneta o vehiculo todo terreno,1,Tata,2010,Diesel,Propia (del hogar),No,"11,122"
10101,1,Auto,1,Chevrolet,2011,Gasolina,Propia (del hogar),No,"10,476"
10111,1,Auto,2,Mercedes Benz,2002,Gasolina,Propia (del hogar),No,"10,476"
10111,2,Camioneta o vehiculo todo terreno,1,Chevrolet,2008,Gasolina,Propia (del hogar),No,"10,476"
10112,1,Camioneta o vehiculo todo terreno,1,Jac,2018,Gasolina,Propia (del hogar),No,"10,476"
10121,1,Camioneta o vehiculo todo terreno,2,Chery,2019,Gasolina,Propia (del hogar),No,"10,5"
10131,1,Camioneta o vehiculo todo terreno,2,Toyota,2021,Gasolina,Propia (del hogar),No,"10,5"
10131,2,Camioneta o vehiculo todo terreno,2,Fiat,2018,Gasolina,Propia (del hogar),No,"10,5"
10132,1,Auto,1,Peugeot,2003,Gasolina,Propia (del hogar),No,"10,5"
10141,1,Auto,1,Chevrolet,2017,Gasolina,Propia (del hogar),No,"10,5"
10151,1,Auto,2,Audi,2000,Diesel,Propia (del hogar),No,"12,977"
10152,1,Camioneta o vehiculo todo terreno,1,Fiat,2016,Gasolina,Propia (del hogar),Si,"12,977"
10161,1,Auto,2,Chevrolet,2015,Gasolina,Propia (del hogar),Si,"12,977"
10172,1,Auto,1,Renault,2021,Gasolina,Propia (del hogar),Si,"12,977"
10172,2,Camioneta o vehiculo todo terreno,1,Toyota,2016,Diesel,Propia (del hogar),No,"12,977"
10181,1,Auto,1,Hyundai,1995,Diesel,Propia (del hogar),No,"16,35"
10182,1,Auto,1,Mazda,2013,Gasolina,Propia (del hogar),No,"16,35"
10191,1,Auto,2,Kia,2012,Diesel,Propia (del hogar),No,"16,35"
10192,1,Auto,1,Suzuki,2006,Gasolina,Propia (del hogar),No,"16,35"
10201,1,Auto,1,Subaru,1990,Gasolina,Propia (del hogar),No,"10,476"
10202,1,Auto,1,Mazda,2007,Gasolina,Propia (del hogar),No,"10,476"
10222,1,Camioneta o vehiculo todo terreno,1,Nissan,2008,Gasolina,Propia (del hogar),No,"10,5"
10222,2,Auto,1,Renault,2015,Gasolina,Propia (del hogar),Si,"10,5"
10231,1,Camioneta o vehiculo todo terreno,1,Renault,2019,Gasolina,Propia (del hogar),No,"10,5"
10231,2,Auto,3,Suzuki,1998,Gasolina,Propia (del hogar),No,"10,5"
10232,1,Camioneta o vehiculo todo terreno,2,Hyundai,2009,Gasolina,Propia (del hogar),No,"10,5"
10241,1,Camioneta o vehiculo todo terreno,2,Chevrolet,2021,Gasolina,Propia (del hogar),Si,"12,977"
10251,1,Auto,2,Ford,2000,Gasolina,Propia (del hogar),No,"12,977"
10252,1,Auto,2,Renault,2016,Gasolina,Propia (del hogar),Si,"12,977"
10291,1,Auto,2,Volkswagen,2010,Gasolina,Prestada,Si,"12,977"
10292,1,Auto,1,Jac,2014,Gasolina,Propia (del hogar),Si,"12,977"
10301,1,Auto,1,Suzuki,2010,Gasolina,Propia (del hogar),Si,"12,977"
10302,1,Van o minivan,1,Changan,2010,Gasolina,Propia (del hogar),No,"12,977"
10311,1,Camioneta o vehiculo todo terreno,1,Great wall,2019,Diesel,Propia (del hogar),No,"12,977"
10312,1,Camioneta o vehiculo todo terreno,1,Nissan,2008,Hibrido,Propia (del hogar),Si,"12,977"
10312,2,Auto,1,Zotye,2011,Gasolina,Propia (del hogar),No,"12,977"
10322,1,Camioneta o vehiculo todo terreno,2,Ford,2006,Gasolina,Propia (del hogar),No,"13,272"
10331,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),No,"13,272"
10332,1,Auto,1,Mazda,2007,Gasolina,Propia (del hogar),No,"13,272"
10332,2,Camioneta o vehiculo todo terreno,2,Chevrolet,2010,Diesel,Propia (del hogar),No,"13,272"
10341,1,Camioneta o vehiculo todo terreno,1,Chevrolet,2011,Gasolina,Propia (del hogar),No,"13,272"
10341,2,Auto,1,Mazda,2019,Gasolina,Propia (del hogar),No,"13,272"
10351,1,Auto,1,Hyundai,2002,Diesel,Propia (del hogar),No,"13,272"
10352,1,Auto,1,Chevrolet,2010,Diesel,Propia (del hogar),No,"13,272"
10361,1,Auto,1,Chevrolet,2015,Gasolina,Propia (del hogar),No,"10,476"
10361,2,Auto,2,Nissan,2018,Gasolina,Propia (del hogar),No,"10,476"
10371,1,Auto,1,Ford,2014,Gasolina,Propia (del hogar),Si,"13,272"
10381,1,"Taxi, Radiotaxi, taxi colectivo",2,Renault,2012,Gasolina,Propia (del hogar),Si,"13,272"
10391,1,Camioneta o vehiculo todo terreno,1,Nissan,2014,Gasolina,Propia (del hogar),Si,"13,272"
10392,1,Auto,1,Toyota,2014,Gasolina,Propia (del hogar),Si,"13,272"
10401,1,Auto,2,Ssangyong,2011,Diesel,Propia (del hogar),No,"13,272"
10401,2,Auto,4,Chevrolet,2010,Gasolina,Propia (del hogar),No,"13,272"
10402,1,Auto,1,Hyundai,2016,Gasolina,Propia (del hogar),Si,"13,272"
10402,2,Camioneta o vehiculo todo terreno,1,Great wall,2015,Diesel,Propia (del hogar),No,"13,272"
10411,1,Camioneta o vehiculo todo terreno,1,Kia,2011,Diesel,Propia (del hogar),No,"13,272"
10412,1,Camioneta o vehiculo todo terreno,1,Toyota,2011,Diesel,Propia (del hogar),No,"13,272"
10442,1,Auto,1,Chevrolet,2011,Gasolina,Propia (del hogar),No,"13,272"
10451,1,Auto,2,Hyundai,1993,Gasolina,Propia (del hogar),No,"13,272"
10451,2,Van o minivan,2,Toyota,2017,Diesel,Propia (del hogar),No,"13,272"
10452,1,Camioneta o vehiculo todo terreno,2,Hyundai,2007,Diesel,Propia (del hogar),No,"13,272"
10471,1,Auto,2,Toyota,2014,Gasolina,Propia (del hogar),No,"13,272"
10472,1,Auto,1,Chevrolet,2018,Gasolina,Propia (del hogar),No,"13,272"
10481,1,Auto,1,Dodge,2017,Gasolina,Propia (del hogar),Si,"13,272"
10481,2,Auto,2,Mitsubishi,2018,Gasolina,Propia (del hogar),No,"13,272"
10501,1,Auto,1,Chevrolet,2009,Gasolina,Propia (del hogar),No,"19,511"
10511,1,Auto,1,Chevrolet,2019,Gasolina,Propia (del hogar),No,"19,511"
10522,1,Auto,1,Honda,2019,Gasolina,Propia (del hogar),No,"19,511"
10542,1,Auto,2,Chevrolet,2006,Gasolina,Propia (del hogar),No,"19,511"
10571,1,Camioneta o vehiculo todo terreno,1,Chevrolet,2020,Diesel,Propia (del hogar),Si,"19,511"
10581,1,Camioneta o vehiculo todo terreno,1,Kia,2021,Diesel,Propia (del hogar),Si,"19,511"
10582,1,Auto,1,Mazda,2011,Gasolina,Propia (del hogar),No,"19,511"
10591,1,Auto,1,Great wall,2009,Gasolina,Propia (del hogar),No,"19,511"
10592,1,Camion,1,Hyundai,2005,Diesel,Propia (del hogar),No,"19,511"
10601,1,Auto,1,Mitsubishi,2015,Gasolina,Propia (del hogar),No,"19,511"
10602,1,Auto,1,Nissan,2012,Diesel,Propia (del hogar),No,"19,511"
10602,2,Auto,2,Suzuki,2014,Gasolina,Propia (del hogar),No,"19,511"
10611,1,Camioneta o vehiculo todo terreno,1,Mitsubishi,2005,Diesel,Propia (del hogar),No,"13,272"
10611,2,Camioneta o vehiculo todo terreno,2,Ssangyong,2005,Diesel,Propia (del hogar),No,"13,272"
10612,1,Camioneta o vehiculo todo terreno,1,Nissan,2007,Diesel,Propia (del hogar),No,"13,272"
10622,1,Auto,1,Hyundai,2011,Diesel,Propia (del hogar),No,"13,272"
10631,1,Auto,1,Chevrolet,1998,Gasolina,Propia (del hogar),No,"13,272"
10642,1,Camioneta o vehiculo todo terreno,1,Ford,2012,Gasolina,Propia (del hogar),No,"10,476"
10642,2,Camioneta o vehiculo todo terreno,1,Mazda,2019,Diesel,Propia (del hogar),No,"10,476"
10651,1,Auto,1,Renault,2015,Gasolina,Propia (del hogar),No,"10,476"
10652,1,Auto,3,Chevrolet,2010,Gasolina,Propia (del hogar),No,"10,476"
10661,1,Auto,1,Mercedes Benz,2019,Gasolina,Propia (del hogar),No,"10,476"
10662,1,Auto,2,Renault,2012,Gasolina,Propia (del hogar),No,"10,476"
10662,2,Camioneta o vehiculo todo terreno,1,Chevrolet,2016,Diesel,Propia (del hogar),No,"10,476"
10671,1,Camioneta o vehiculo todo terreno,1,Mazda,2019,Diesel,Propia (del hogar),No,"10,5"
10671,2,Auto,2,Mazda,2011,Gasolina,Propia (del hogar),No,"10,5"
10671,3,Auto,3,Mazda,2011,Gasolina,Propia (del hogar),No,"10,5"
10682,1,Camioneta o vehiculo todo terreno,3,Chevrolet,1988,Gasolina,Propia (del hogar),No,"10,5"
10691,1,Camioneta o vehiculo todo terreno,1,Mitsubishi,1994,Diesel,Propia (del hogar),Si,"11,122"
10692,1,Auto,2,Hyundai,1993,Gasolina,Propia (del hogar),No,"11,122"
10692,2,Auto,1,Peugeot,2004,Gasolina,Propia (del hogar),No,"11,122"
10702,1,Auto,7,Chevrolet,2013,Hibrido,Propia (del hogar),Si,"11,122"
10711,1,Auto,1,Chevrolet,2010,Diesel,Propia (del hogar),No,"11,122"
10722,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),No,"11,122"
10741,1,Auto,1,Kia,2006,Gasolina,Propia (del hogar),No,"11,122"
10742,1,Auto,1,Toyota,2010,Diesel,Propia (del hogar),Si,"11,122"
10762,1,Auto,1,Hyundai,2016,Gasolina,Propia (del hogar),No,"12,977"
10781,1,Camioneta o vehiculo todo terreno,1,Mahindra,2019,Diesel,Propia (del hogar),No,"11,122"
10782,1,Auto,3,Chevrolet,2007,Diesel,Propia (del hogar),Si,"11,122"
10791,1,Auto,1,Suzuki,2021,Gasolina,Propia (del hogar),No,"10,5"
10792,1,Auto,1,MG,2005,Gasolina,Propia (del hogar),Si,"10,5"
10792,2,Auto,2,Toyota,2012,Gasolina,Propia (del hogar),No,"10,5"
10801,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),No,"10,5"
10802,1,Auto,1,Chevrolet,2010,Gasolina,Propia (del hogar),Si,"10,5"
10811,1,Auto,3,Chevrolet,2013,Gasolina,Propia (del hogar),Si,"10,5"
10811,2,Furgon utilitario,1,Chevrolet,2019,Gasolina,Propia (del hogar),Si,"10,5"
10821,1,Auto,1,Hyundai,2002,Gasolina,Propia (del hogar),No,"10,5"
10842,1,Camioneta o vehiculo todo terreno,3,Toyota,2013,Gasolina,Propia (del hogar),No,"12,977"
10851,1,Camion,2,Hyundai,2008,Diesel,Propia (del hogar),Si,"12,977"
10852,1,Auto,1,Citroen,2019,Diesel,Propia (del hogar),Si,"12,977"
10861,1,Auto,1,Chevrolet,2019,Gasolina,Propia (del hogar),Si,"16,35"
10861,2,Auto,2,Mazda,2020,Gasolina,Propia (del hogar),Si,"16,35"
10871,1,Auto,4,Mazda,2017,Gasolina,Propia (del hogar),No,"10,476"
10882,1,Camioneta o vehiculo todo terreno,1,Volkswagen,2021,Gasolina,Propia (del hogar),No,"10,5"
10891,1,Auto,1,Mazda,2014,Gasolina,Propia (del hogar),No,"10,5"
10892,1,Auto,1,Suzuki,2016,Gasolina,Propia (del hogar),No,"10,5"
10901,1,Auto,1,Suzuki,2017,Gasolina,Propia (del hogar),No,"12,977"
10941,1,Camion,1,Foton,2016,Gasolina,De la empresa o institucion,Si,"10,476"
10941,2,Camioneta o vehiculo todo terreno,1,Nissan,2006,Gasolina,Propia (del hogar),No,"10,476"
10942,1,Auto,2,Toyota,2005,Gasolina,Propia (del hogar),No,"10,476"
10951,1,Auto,1,Nissan,2022,Gasolina,Propia (del hogar),No,"10,476"
10952,1,Camioneta o vehiculo todo terreno,1,Chevrolet,2019,Gasolina,Propia (del hogar),No,"10,476"
10952,2,Auto,2,Chevrolet,2019,Gasolina,Propia (del hogar),No,"10,476"
10962,1,Auto,1,Samsung,2010,Gasolina,Propia (del hogar),No,"10,476"
10971,1,Auto,1,Ssangyong,2016,Diesel,Propia (del hogar),Si,"12,977"
10991,1,Auto,1,Renault,2017,Gasolina,Propia (del hogar),No,"12,977"
11001,1,Camioneta o vehiculo todo terreno,4,Nissan,2003,Diesel,Propia (del hogar),No,"13,272"
11011,1,Camioneta o vehiculo todo terreno,1,Dodge,2017,Diesel,Propia (del hogar),Si,"13,272"
11011,2,Auto,2,Renault,2019,Gasolina,Propia (del hogar),No,"13,272"
11021,1,Auto,2,Suzuki,2018,Gasolina,Propia (del hogar),No,"13,272"
11022,1,Auto,2,Mazda,2014,Gasolina,Propia (del hogar),No,"13,272"
11031,1,Van o minivan,1,Ford,2003,Gasolina,Propia (del hogar),No,"13,272"
11032,1,Camioneta o vehiculo todo terreno,3,Chevrolet,2015,Diesel,Propia (del hogar),No,"13,272"
11042,1,Camioneta o vehiculo todo terreno,1,Nissan,2005,Gasolina,Propia (del hogar),Si,"13,272"
11051,1,Auto,1,Changan,2020,Gasolina,Propia (del hogar),No,"13,272"
11052,1,Auto,1,Volkswagen,2000,Gasolina,Propia (del hogar),No,"13,272"
11062,1,Auto,1,Hyundai,2008,Gasolina,Propia (del hogar),No,"13,272"
11071,1,Auto,2,Great wall,2003,Gasolina,Propia (del hogar),No,"13,272"
11072,1,Auto,1,Suzuki,2001,Gasolina,Propia (del hogar),No,"13,272"
11082,1,Auto,4,Geely,2014,Gasolina,Propia (del hogar),No,"13,272"
11091,1,Auto,3,Suzuki,2006,Gasolina,Propia (del hogar),No,"13,272"
11112,1,Camioneta o vehiculo todo terreno,1,Maxus,2020,Diesel,Propia (del hogar),No,"13,272"
11142,1,Auto,1,Hyundai,2005,Diesel,Propia (del hogar),No,"13,272"
11151,1,Furgon utilitario,1,Hyundai,2005,Diesel,Propia (del hogar),No,"13,272"
11152,1,Camioneta o vehiculo todo terreno,1,Mitsubishi,2012,Diesel,Propia (del hogar),No,"13,272"
11161,1,Auto,3,Great wall,2011,Gasolina,Propia (del hogar),No,"13,272"
11162,1,Van o minivan,1,Hyundai,2012,Diesel,Propia (del hogar),No,"13,272"
11171,1,Auto,1,Chevrolet,2013,Gasolina,Propia (del hogar),Si,"13,272"
11172,1,Auto,1,Volkswagen,2013,Gasolina,Propia (del hogar),No,"13,272"
11181,1,Auto,1,Chery,2013,Gasolina,Propia (del hogar),No,"13,272"
11192,1,Auto,1,Hyundai,2013,Gasolina,Propia (del hogar),No,"13,272"
11192,2,Camion,3,Hyundai,1995,Diesel,Propia (del hogar),Si,"13,272"
11201,1,Auto,5,Great wall,2017,Gasolina,Propia (del hogar),Si,"19,511"
11212,1,Auto,2,Zotye,2013,Gasolina,Propia (del hogar),No,"19,511"
11221,1,Auto,1,Geely,2013,Gasolina,Propia (del hogar),No,"19,511"
11231,1,Van o minivan,1,Jac,2015,Diesel,Propia (del hogar),Si,"19,511"
11231,2,Auto,2,Toyota,2014,Gasolina,Propia (del hogar),No,"19,511"
11231,3,Auto,3,Mazda,2006,Electricidad,Propia (del hogar),No,"19,511"
11232,1,Auto,2,Ford,2019,Gasolina,Propia (del hogar),No,"19,511"
11241,1,Auto,1,Suzuki,2006,Gasolina,Propia (del hogar),No,"19,511"
